candidate	step	seed	bimaxwell_val	candidate_val	diff_bimaxwell_minus_candidate
plann_pr357_kernel_control	2000	1	3.44282	3.43636	+0.006460
plann_pr357_kernel_control	2000	2	3.44335	3.43671	+0.006640
plann_pr357_kernel_control	2000	3	3.44413	3.43753	+0.006600
plann_pr357_kernel_control	2125	0	3.42481	3.41729	+0.007520
plann_pr357_kernel_control	2125	1	3.42506	3.41795	+0.007110
plann_pr357_kernel_control	2125	2	3.42619	3.41792	+0.008270
plann_pr357_kernel_control	2125	3	3.42596	3.41895	+0.007010
plann_pr357_kernel_control	2250	0	3.40680	3.39806	+0.008740
plann_pr357_kernel_control	2250	1	3.40678	3.39892	+0.007860
plann_pr357_kernel_control	2250	2	3.40748	3.39926	+0.008220
plann_pr357_kernel_control	2250	3	3.40858	3.39969	+0.008890
plann_pr357_kernel_control	2375	0	3.38940	3.38104	+0.008360
plann_pr357_kernel_control	2375	1	3.38942	3.38128	+0.008140
plann_pr357_kernel_control	2375	2	3.39012	3.38178	+0.008340
plann_pr357_kernel_control	2375	3	3.39109	3.38244	+0.008650
plann_pr357_kernel_control	2500	0	3.37196	3.36327	+0.008690
plann_pr357_kernel_control	2500	1	3.37207	3.36329	+0.008780
plann_pr357_kernel_control	2500	2	3.37270	3.36419	+0.008510
plann_pr357_kernel_control	2500	3	3.37307	3.36469	+0.008380
plann_pr357_kernel_control	2625	0	3.35307	3.34500	+0.008070
plann_pr357_kernel_control	2625	1	3.35347	3.34549	+0.007980
plann_pr357_kernel_control	2625	2	3.35412	3.34593	+0.008190
plann_pr357_kernel_control	2625	3	3.35420	3.34636	+0.007840
plann_pr357_kernel_control	2750	0	3.33536	3.32786	+0.007500
plann_pr357_kernel_control	2750	1	3.33537	3.32798	+0.007390
plann_pr357_kernel_control	2750	2	3.33586	3.32831	+0.007550
plann_pr357_kernel_control	2750	3	3.33657	3.32907	+0.007500
plann_pr357_kernel_control	2875	0	3.31730	3.31068	+0.006620
plann_pr357_kernel_control	2875	1	3.31732	3.31094	+0.006380
plann_pr357_kernel_control	2875	2	3.31791	3.31124	+0.006670
plann_pr357_kernel_control	2875	3	3.31868	3.31220	+0.006480
plann_pr357_kernel_control	2900	0	3.31351	3.30722	+0.006290
plann_pr357_kernel_control	2900	1	3.31344	3.30753	+0.005910
plann_pr357_kernel_control	2900	2	3.31424	3.30808	+0.006160
plann_pr357_kernel_control	2900	3	3.31484	3.30867	+0.006170
plann_pr357_kernel_control	2910	0	3.31193	3.30571	+0.006220
plann_pr357_kernel_control	2910	1	3.31178	3.30593	+0.005850
plann_pr357_kernel_control	2910	2	3.31259	3.30643	+0.006160
