### STEP LINES ###
step 92 | loss -0.0384 | teacher-student gap -0.0714 | adv_clip 6.5% | ratio_clip lo 2.1% hi 1.0% | staleness 0.94 (max 2) | grad 1.398 | lr 1.00e-06 | tokens 1319 | hint_drop 202.6% | sandbox_fail 0 | empty_eps 0
step 93 | loss -0.0374 | teacher-student gap -0.0839 | adv_clip 5.8% | ratio_clip lo 6.5% hi 2.0% | staleness 0.94 (max 2) | grad 1.590 | lr 1.00e-06 | tokens 2012 | hint_drop 202.9% | sandbox_fail 0 | empty_eps 0
step 94 | loss 0.0178 | teacher-student gap -0.0420 | adv_clip 2.8% | ratio_clip lo 5.5% hi 1.5% | staleness 0.94 (max 2) | grad 1.260 | lr 1.00e-06 | tokens 1892 | hint_drop 207.7% | sandbox_fail 0 | empty_eps 0
step 95 | loss -0.0192 | teacher-student gap -0.0992 | adv_clip 7.1% | ratio_clip lo 7.2% hi 2.3% | staleness 0.94 (max 2) | grad 1.261 | lr 1.00e-06 | tokens 1979 | hint_drop 207.4% | sandbox_fail 0 | empty_eps 0
step 96 | loss -0.0468 | teacher-student gap -0.1000 | adv_clip 10.6% | ratio_clip lo 2.0% hi 0.6% | staleness 0.94 (max 2) | grad 1.258 | lr 1.00e-06 | tokens 2034 | hint_drop 206.1% | sandbox_fail 0 | empty_eps 0
step 97 | loss -0.0513 | teacher-student gap -0.1259 | adv_clip 10.7% | ratio_clip lo 1.6% hi 1.1% | staleness 0.94 (max 2) | grad 1.824 | lr 1.00e-06 | tokens 1945 | hint_drop 206.6% | sandbox_fail 0 | empty_eps 0
step 98 | loss 0.0068 | teacher-student gap -0.0991 | adv_clip 8.3% | ratio_clip lo 0.1% hi 0.0% | staleness 0.94 (max 2) | grad 1.650 | lr 1.00e-06 | tokens 1376 | hint_drop 206.6% | sandbox_fail 0 | empty_eps 0
step 99 | loss -0.0486 | teacher-student gap -0.0531 | adv_clip 5.3% | ratio_clip lo 5.8% hi 2.1% | staleness 0.94 (max 2) | grad 1.667 | lr 1.00e-06 | tokens 1994 | hint_drop 205.6% | sandbox_fail 0 | empty_eps 0
step 100 | loss -0.0408 | teacher-student gap -0.1059 | adv_clip 7.9% | ratio_clip lo 7.3% hi 2.8% | staleness 0.94 (max 2) | grad 1.494 | lr 1.00e-06 | tokens 1370 | hint_drop 207.1% | sandbox_fail 0 | empty_eps 0
step 101 | loss -0.0128 | teacher-student gap -0.0939 | adv_clip 9.3% | ratio_clip lo 1.5% hi 0.2% | staleness 0.94 (max 2) | grad 1.795 | lr 1.00e-06 | tokens 1447 | hint_drop 205.7% | sandbox_fail 0 | empty_eps 0
