fork	assignment	step	name	weight_frob
1500	0	2125	blocks.1.attn.q.weight	71.79645538330078
1500	0	2125	blocks.1.attn.k.weight	70.2554702758789
1500	0	2125	blocks.1.attn.v.weight	50.32884216308594
1500	0	2125	blocks.1.attn.proj.weight	64.1700210571289
1500	0	2125	blocks.1.mlp.fc.weight	110.69032287597656
1500	0	2125	blocks.1.mlp.proj.weight	81.59546661376953
1500	0	2125	blocks.2.attn.q.weight	57.94572067260742
1500	0	2125	blocks.2.attn.k.weight	50.244319915771484
1500	0	2125	blocks.2.attn.v.weight	63.877655029296875
1500	0	2125	blocks.2.attn.proj.weight	61.68242645263672
1500	0	2125	blocks.2.mlp.fc.weight	111.54191589355469
1500	0	2125	blocks.2.mlp.proj.weight	64.20940399169922
1500	0	2125	blocks.3.attn.q.weight	46.627681732177734
1500	0	2125	blocks.3.attn.k.weight	48.21977615356445
1500	0	2125	blocks.3.attn.v.weight	51.58465576171875
1500	0	2125	blocks.3.attn.proj.weight	57.2982063293457
1500	0	2125	blocks.3.mlp.fc.weight	112.43926239013672
1500	0	2125	blocks.3.mlp.proj.weight	64.50016021728516
1500	0	2125	blocks.4.attn.q.weight	47.8341178894043
1500	0	2125	blocks.4.attn.k.weight	55.51477813720703
1500	0	2125	blocks.4.attn.v.weight	51.84871292114258
1500	0	2125	blocks.4.attn.proj.weight	70.66117858886719
1500	0	2125	blocks.4.mlp.fc.weight	129.3222198486328
1500	0	2125	blocks.4.mlp.proj.weight	82.86821746826172
1500	0	2125	blocks.5.attn.q.weight	69.58356475830078
1500	0	2125	blocks.5.attn.k.weight	46.84304428100586
1500	0	2125	blocks.5.attn.v.weight	75.11650085449219
1500	0	2125	blocks.5.attn.proj.weight	48.45526885986328
1500	0	2125	blocks.5.mlp.fc.weight	164.62286376953125
1500	0	2125	blocks.5.mlp.proj.weight	56.7923583984375
1500	0	2125	blocks.6.attn.q.weight	52.63078689575195
1500	0	2125	blocks.6.attn.k.weight	69.43365478515625
1500	0	2125	blocks.6.attn.v.weight	63.537357330322266
1500	0	2125	blocks.6.attn.proj.weight	58.38545608520508
1500	0	2125	blocks.6.mlp.fc.weight	129.6211700439453
1500	0	2125	blocks.6.mlp.proj.weight	57.316627502441406
1500	0	2125	blocks.7.attn.q.weight	55.36808395385742
1500	0	2125	blocks.7.attn.k.weight	48.14374923706055
1500	0	2125	blocks.7.attn.v.weight	62.66431427001953
1500	0	2125	blocks.7.attn.proj.weight	72.91404724121094
1500	0	2125	blocks.7.mlp.fc.weight	130.02491760253906
1500	0	2125	blocks.7.mlp.proj.weight	84.18885040283203
1500	0	2125	blocks.8.attn.q.weight	47.125213623046875
1500	0	2125	blocks.8.attn.k.weight	70.3603286743164
1500	0	2125	blocks.8.attn.v.weight	79.82305908203125
1500	0	2125	blocks.8.attn.proj.weight	57.92578887939453
1500	0	2125	blocks.8.mlp.fc.weight	165.48687744140625
1500	0	2125	blocks.8.mlp.proj.weight	66.75227355957031
1500	0	2125	blocks.9.attn.q.weight	68.68649291992188
1500	0	2125	blocks.9.attn.k.weight	54.08723068237305
1500	0	2125	blocks.9.attn.v.weight	68.15050506591797
1500	0	2125	blocks.9.attn.proj.weight	68.54180908203125
1500	0	2125	blocks.9.mlp.fc.weight	164.61587524414062
1500	0	2125	blocks.9.mlp.proj.weight	59.05949401855469
1500	0	2125	blocks.10.attn.q.weight	69.80706787109375
1500	0	2125	blocks.10.attn.k.weight	53.83380889892578
1500	0	2125	blocks.10.attn.v.weight	85.37370300292969
1500	0	2125	blocks.10.attn.proj.weight	55.79155349731445
1500	0	2125	blocks.10.mlp.fc.weight	114.36119842529297
1500	0	2125	blocks.10.mlp.proj.weight	59.71208953857422
1500	0	2125	blocks.11.attn.q.weight	46.42512130737305
1500	0	2125	blocks.11.attn.k.weight	69.21379852294922
1500	0	2125	blocks.11.attn.v.weight	72.22848510742188
1500	0	2125	blocks.11.attn.proj.weight	64.95258331298828
1500	0	2125	blocks.11.mlp.fc.weight	161.50765991210938
1500	0	2125	blocks.11.mlp.proj.weight	68.25404357910156
1500	0	2250	blocks.0.attn.q.weight	57.335784912109375
1500	0	2250	blocks.0.attn.k.weight	56.360626220703125
1500	0	2250	blocks.0.attn.v.weight	57.68067169189453
1500	0	2250	blocks.0.attn.proj.weight	46.217491149902344
1500	0	2250	blocks.0.mlp.fc.weight	120.06947326660156
1500	0	2250	blocks.0.mlp.proj.weight	78.51497650146484
1500	0	2250	blocks.1.attn.q.weight	72.1533432006836
1500	0	2250	blocks.1.attn.k.weight	70.57300567626953
